transactionDate,company,ticker,transactionType,price,quantity,note
2024-02-07,ВК МКПАО,VKCO,SELL,672.008,50.0,
2024-02-08,ВК МКПАО,VKCO,BUY,661.0,50.0,
2024-02-09,Самолет ГК,SMLT,BUY,3741.0,5.0,
2024-02-09,ВК МКПАО,VKCO,BUY,657.6,20.0,
2024-02-09,Мвидео,MVID,BUY,194.7,40.0,
2024-02-09,Тинькофф др,TCSG,BUY,3086.5,5.0,
2024-02-13,Группа Позитив,POSI,BUY,2239.1,10.0,
2024-02-13,Ros Agro др,AGRO,BUY,1419.2,10.0,
2024-02-13,Яндекс,YNDX,BUY,3414.1,10.0,
2024-02-14,Озон,OZON,SELL,3142.0,10.0,
2024-02-14,X5 Retail Group,FIVE,SELL,2518.5,10.0,
2024-02-14,Ростелеком,RTKM,BUY,80.6,300.0,
2024-02-14,Диасофт,DIAS,BUY,6100.5,5.0,
2024-02-14,Тинькофф др,TCSG,BUY,3106.5,5.0,
2024-02-14,Банк ВТБ,VTBR,BUY,122.375,300,
2024-02-14,Самолет ГК,SMLT,BUY,3799.5,5.0,
2024-02-14,Мвидео,MVID,BUY,197.1,60.0,
2024-02-14,Тинькофф др,TCSG,SELL,3126.5,20.0,
2024-02-15,Глобалтранс,GLTR,BUY,703.239,100.0,
2024-02-15,ВК МКПАО,VKCO,SELL,705.57,70.0,
2024-02-16,ВК МКПАО,VKCO,BUY,663.0,10.0,
2024-02-20,X5 Retail Group,FIVE,BUY,2355.5,5.0,
2024-02-20,ВК МКПАО,VKCO,BUY,643.4,10.0,
2024-02-20,ВК МКПАО,VKCO,BUY,648.8,10.0,
2024-02-20,Ростелеком,RTKM,SELL,87.82,300.0,
2024-02-20,X5 Retail Group,FIVE,BUY,2402.5,5.0,
2024-02-21,ВК МКПАО,VKCO,BUY,637.8,10.0,
2024-03-07,Мвидео,MVID,SELL,205.1,200.0,
2024-03-11,Группа Позитив,POSI,SELL,2473.45,20.0,
2024-03-11,Мвидео,MVID,BUY,213.2,150.0,
2024-03-11,Магнит,MGNT,BUY,7686.1,10.0,
2024-03-13,X5 Retail Group,FIVE,SELL,2721.0,10.0,
2024-03-14,Полюс,PLZL,SELL,11806.5,6.0,
2024-03-18,Инарктика,INAR,BUY,902.5,40.0,
2024-03-20,Сбербанк Росс,SBER,BUY,296.65,280.0,
2024-03-20,РОСБАНК,ROSB,BUY,148.2,270.0,
2024-03-20,Яндекс,YNDX,SELL,3947.6,10.0,
2024-04-01,Инарктика,INAR,SELL,954.65,40.0,
2024-04-01,Ros Agro др,AGRO,SELL,1465.184615,13.0,
2024-04-01,Глобалтранс,GLTR,SELL,738.2535,100.0,
2024-04-02,Глобалтранс,GLTR,BUY,745.96092,174.0,
2024-04-03,Выплата дивидендов,DIAS,DIVIDEND,75.68,5.0,
2024-04-05,Диасофт,DIAS,SELL,6244.5,5.0,
2024-04-05,ЛУКОЙЛ,LKOH,SELL,7700.0,20.0,
2024-04-05,Глобалтранс,GLTR,SELL,783.111207,174.0,
2024-04-08,Глобалтранс,GLTR,BUY,764.8,50.0,
2024-04-08,Глобалтранс,GLTR,BUY,762.609,50.0,
2024-04-09,КАМАЗ,KMAZ,SELL,187.3,250.0,
2024-04-09,ВК МКПАО,VKCO,BUY,607.735,80.0,
2024-04-09,РОСБАНК,ROSB,SELL,123.97037,270.0,
2024-04-09,Россети Центр,RSTL,BUY,0.35644,200000.0,
2024-04-09,Тинькофф др,TCSG,BUY,3163.2,20.0,
2024-04-12,Глобалтранс,GLTR,SELL,834.057778,100.0,
2024-05-12,Аэрофлот,AFLT,BUY,50.47,1000.0,
2024-04-12,Сургутнефтегаз,SURG,BUY,31.605,2000.0,
2024-04-16,Сургутнефтегаз,SURG,SELL,32.43425,2000.0,
2024-04-16,Группа Позитив,POSI,BUY,2906.4,20.0,
2024-04-17,Самолет ГК,SMLT,BUY,3761.5,10.0,
2024-04-17,Группа Астра,ASTR,BUY,599.697778,90.0,
2024-04-23,Вывод средств,CASH,WITHDRAW,1.0,15000,
2024-04-23,Глобалтранс,GLTR,BUY,834.057778,45.0,
2024-04-23,Глобалтранс,GLTR,BUY,832.132222,45.0,
2024-04-23,Россети Центр,RSTL,SELL,0.3693,200000.0,
2024-04-24,Выплата дивидендов,POSI,DIVIDEND,47.3,20.0,
2024-05-03,Магнит,MGNT,SELL,8297.0,20.0,
2024-05-03,Татнефть,TATN,SELL,719.5,50.0,
2024-05-03,Группа Позитив,POSI,SELL,2978.0,20.0,
